Started with matrix size: 20000 , threads count: 2
0,807586

Started with matrix size: 20000 , threads count: 2
0,842091

Started with matrix size: 20000 , threads count: 2
0,985009

Started with matrix size: 20000 , threads count: 2
1,00568

Started with matrix size: 20000 , threads count: 2
0,880644

Started with matrix size: 20000 , threads count: 2
0,859857

Started with matrix size: 20000 , threads count: 2
0,995946

Started with matrix size: 20000 , threads count: 2
0,895236

Started with matrix size: 20000 , threads count: 2
0,829922

Started with matrix size: 20000 , threads count: 2
1,02533







Started with matrix size: 20000 , threads count: 4
0,396808

Started with matrix size: 20000 , threads count: 4
0,462977

Started with matrix size: 20000 , threads count: 4
0,376836

Started with matrix size: 20000 , threads count: 4
0,392795

Started with matrix size: 20000 , threads count: 4
0,415478

Started with matrix size: 20000 , threads count: 4
0,383435

Started with matrix size: 20000 , threads count: 4
0,398314

Started with matrix size: 20000 , threads count: 4
0,391989

Started with matrix size: 20000 , threads count: 4
0,424621

Started with matrix size: 20000 , threads count: 4
0,404095







Started with matrix size: 20000 , threads count: 7
0,247186

Started with matrix size: 20000 , threads count: 7
0,291153

Started with matrix size: 20000 , threads count: 7
0,31474

Started with matrix size: 20000 , threads count: 7
0,266309

Started with matrix size: 20000 , threads count: 7
0,258992

Started with matrix size: 20000 , threads count: 7
0,25083

Started with matrix size: 20000 , threads count: 7
0,249406

Started with matrix size: 20000 , threads count: 7
0,254777

Started with matrix size: 20000 , threads count: 7
0,274005

Started with matrix size: 20000 , threads count: 7
0,267072







Started with matrix size: 20000 , threads count: 8
0,208751

Started with matrix size: 20000 , threads count: 8
0,238543

Started with matrix size: 20000 , threads count: 8
0,235348

Started with matrix size: 20000 , threads count: 8
0,230655

Started with matrix size: 20000 , threads count: 8
0,238902

Started with matrix size: 20000 , threads count: 8
0,201588

Started with matrix size: 20000 , threads count: 8
0,212706

Started with matrix size: 20000 , threads count: 8
0,220291

Started with matrix size: 20000 , threads count: 8
0,240184

Started with matrix size: 20000 , threads count: 8
0,215079







Started with matrix size: 20000 , threads count: 16
0,118017

Started with matrix size: 20000 , threads count: 16
0,13213

Started with matrix size: 20000 , threads count: 16
0,135628

Started with matrix size: 20000 , threads count: 16
0,140764

Started with matrix size: 20000 , threads count: 16
0,124597

Started with matrix size: 20000 , threads count: 16
0,121345

Started with matrix size: 20000 , threads count: 16
0,135953

Started with matrix size: 20000 , threads count: 16
0,136014

Started with matrix size: 20000 , threads count: 16
0,124923

Started with matrix size: 20000 , threads count: 16
0,119152







Started with matrix size: 20000 , threads count: 20
0,128081

Started with matrix size: 20000 , threads count: 20
0,112023

Started with matrix size: 20000 , threads count: 20
0,115436

Started with matrix size: 20000 , threads count: 20
0,106679

Started with matrix size: 20000 , threads count: 20
0,129798

Started with matrix size: 20000 , threads count: 20
0,10699

Started with matrix size: 20000 , threads count: 20
0,101681

Started with matrix size: 20000 , threads count: 20
0,122743

Started with matrix size: 20000 , threads count: 20
0,110126

Started with matrix size: 20000 , threads count: 20
0,117634







Started with matrix size: 20000 , threads count: 40
0.0727072

Started with matrix size: 20000 , threads count: 40
0.0676277

Started with matrix size: 20000 , threads count: 40
0.0696551

Started with matrix size: 20000 , threads count: 40
0.063606

Started with matrix size: 20000 , threads count: 40
0.0615276

Started with matrix size: 20000 , threads count: 40
0.0693534

Started with matrix size: 20000 , threads count: 40
0.0599249

Started with matrix size: 20000 , threads count: 40
0.0653424

Started with matrix size: 20000 , threads count: 40
0.0659802

Started with matrix size: 20000 , threads count: 40
0.0644878







Started with matrix size: 40000 , threads count: 2
5,64855

Started with matrix size: 40000 , threads count: 2
9,00385

Started with matrix size: 40000 , threads count: 2
5,48691

Started with matrix size: 40000 , threads count: 2
6,08746

Started with matrix size: 40000 , threads count: 2
2,88219

Started with matrix size: 40000 , threads count: 2
3,32559

Started with matrix size: 40000 , threads count: 2
2,60741

Started with matrix size: 40000 , threads count: 2
2,59461

Started with matrix size: 40000 , threads count: 2
3,60772

Started with matrix size: 40000 , threads count: 2
2,6076







